# Force and moment coefficients
# dragDir               : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# rollAxis              : (9.9902800828979665e-01 4.4079912120170803e-02 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (-4.4079912120170803e-02 9.9902800828979665e-01 0.0000000000000000e+00)
# magUInf               : 2.4800000000000000e+02
# lRef                  : 1.0000000000000000e+00
# Aref                  : 1.0000000000000000e-02
# CofR                  : (2.5000000000000000e-01 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
8202                    	1.4150397009350061e-02	3.5866498009289828e-03	1.0563747208421079e-02	6.9770974587908308e-01	2.5888896726064081e-01	4.3882077861844226e-01	-8.9965905678900712e-02	-3.4885487037460482e-03	7.0752058786255773e-05	-7.7482125149071099e-10	7.0751671375630031e-05	-7.0752446196881529e-05
8203                    	1.4153313647442378e-02	3.5880204238148746e-03	1.0565293223627502e-02	6.9772728511057458e-01	2.5888542372527151e-01	4.3884186138530307e-01	-8.9978218830015749e-02	-3.4886363999063140e-03	7.0766641907231030e-05	-7.7492091783393493e-10	7.0766254446772117e-05	-7.0767029367689956e-05
8204                    	1.4150263007057823e-02	3.5865693013246622e-03	1.0563693705733158e-02	6.9771244557083589e-01	2.5888979463904338e-01	4.3882265093179246e-01	-8.9966428146374525e-02	-3.4885622022042487e-03	7.0751388773991991e-05	-7.7483418020278117e-10	7.0751001356901896e-05	-7.0751776191082098e-05
8205                    	1.4153591342080983e-02	3.5881432842175703e-03	1.0565448057863414e-02	6.9773048249400971e-01	2.5888621829240249e-01	4.3884426420160721e-01	-8.9979022954602389e-02	-3.4886523868229214e-03	7.0768030379684009e-05	-7.7493374853579259e-10	7.0767642912809750e-05	-7.0768417846558282e-05
8206                    	1.4150311840860168e-02	3.5865893015166353e-03	1.0563722539343533e-02	6.9771332891278870e-01	2.5889123546169446e-01	4.3882209345109419e-01	-8.9965428994699864e-02	-3.4885666189134485e-03	7.0751632942333718e-05	-7.7484689757845193e-10	7.0751245518884927e-05	-7.0752020365782509e-05
8207                    	1.4153284592896999e-02	3.5879897882330610e-03	1.0565294804663939e-02	6.9773050677262627e-01	2.5888777502862798e-01	4.3884273174399829e-01	-8.9977478357685173e-02	-3.4886525082154386e-03	7.0766496633066275e-05	-7.7494648793045891e-10	7.0766109159822315e-05	-7.0766884106310249e-05
8208                    	1.4150310298261321e-02	3.5865780052401069e-03	1.0563732293021216e-02	6.9771543390832558e-01	2.5889224861853766e-01	4.3882318528978786e-01	-8.9965468335625104e-02	-3.4885771438905541e-03	7.0751625228714031e-05	-7.7485952609572770e-10	7.0751237798950982e-05	-7.0752012658477080e-05
8209                    	1.4153167723663627e-02	3.5879183715824695e-03	1.0565249352081158e-02	6.9773310317951942e-01	2.5888862412126640e-01	4.3884447905825297e-01	-8.9977927468493271e-02	-3.4886654902493439e-03	7.0765912286190551e-05	-7.7495921424652862e-10	7.0765524806583422e-05	-7.0766299765797681e-05
8210                    	1.4149698845734332e-02	3.5862643869197636e-03	1.0563434458814568e-02	6.9771701231980587e-01	2.5889325559019710e-01	4.3882375672960872e-01	-8.9965250569705821e-02	-3.4885850359474024e-03	7.0748567965329682e-05	-7.7487229041797240e-10	7.0748180529184464e-05	-7.0748955401474887e-05
8211                    	1.4152640554952830e-02	3.5876467283882194e-03	1.0564993826564610e-02	6.9773471494740469e-01	2.5888959574860865e-01	4.3884511919879610e-01	-8.9977761725093697e-02	-3.4886735490881953e-03	7.0763276442097512e-05	-7.7497168232750520e-10	7.0762888956256355e-05	-7.0763663927938668e-05
